Diagram-ID,Image-Path,Modified-Alt-Text
26,/image26.png,"Table/diagram relates quantum numbers to orbital shapes. Rows group orbitals by principal quantum number n and orbital type l (s, p, d, f, g). Columns correspond to different |mₗ| values, showing how orbitals of the same type can differ mainly by orientation. Key patterns: s orbitals (l = 0, mₗ = 0) are spherical with no angular nodes. p orbitals (l = 1) are two‑lobed (“dumbbell”) with one nodal plane; different mₗ values correspond to different orientations. d orbitals (l = 2) are four‑lobed (or a two‑lobed shape with a torus), with two angular nodes; f and g orbitals show progressively more lobes and nodal surfaces as l increases. As n increases (down the table), orbitals of the same l become larger and may show additional radial nodes (shells) in the probability density."
27,/image27.png,"On left side, magnetic dipoles, in small volume, with scattered direction when no external magnetic field is applied. That means B equals 0. On right side, magnetic dipoles, in small volume, oriented in the same direction as applied magnetic field 'B'."
28,/image28.png,"The image features two diagrams illustrating the concept of the cross product of two vectors, A and B. On the left, a hand gesture symbolizes the right-hand rule for determining the direction of the resultant vector, 𝐴×𝐵, with the thumb pointing in the direction of the resultant and the fingers curling from vector A to vector B. The angle 𝜃 is marked, suggesting the orientation between the two vectors. On the right, a conical surface visually represents the magnitude of the cross product as the area of the parallelogram formed by A and B, with the same vectors and their resultant indicated. The primary implication is the use of the right-hand rule and visualization of the cross product."
29,/image29.png,"S-shape microstrip patch antenna radiating EM waves, where electric field is orthogonal to magnetic field. The direction of wave propagation is also perpendicular to both fields."
30,/image30.png,"This contour plot illustrates a three-dimensional surface represented in a two-dimensional format, showcasing the relationship between two variables, 𝑥1 and 𝑥2. Axes are labeled 𝑥1 (horizontal) and 𝑥2 (vertical), ranging from approximately -3 to 3 for 𝑥1 and -3 to 3 for 𝑥2. The plot features several contour lines, colored in blue, green, and red, with numeric values indicating corresponding function values on the lines, with values like 100, 250, and 500 clearly marked. The contours are arranged in a convex shape resembling a parabolic surface, suggesting a local minimum point at the origin where the function value is lowest. This indicates that as 𝑥1 and 𝑥2 approach zero, the function value decreases, revealing important insights into optimization problems, specifically highlighting stability and convergence in mathematical modeling."
31,/image31.png,"The 3D contour plot illustrates a scalar field, represented along the x, y, and z axes, with contour lines indicating levels of a specific variable, denoted as 𝑉. The gradient vector ∇𝑉 points in the direction of the steepest ascent, highlighting the relationship between different points 𝑃, 𝑃1, and 𝑃2 on the surface. The lines 𝑉1, 𝑉2, and 𝑉3 signify varying values along the contours, indicating how the variable changes spatially in the defined region. Additionally, the contour lines form concentric shapes suggesting a smooth gradient and gradual variation in the variable's magnitude."
32,/image32.png,"The image illustrates three distinct vector field representations centered around point P, showcasing different directional behaviors. The leftmost configuration reveals a radiating pattern, where arrows emanate outward from P, indicating a source-like behavior, typically associated with positive charge or outward forces. The middle arrangement presents an inward-directed flow, with arrows converging towards P, representing a sink-like behavior, indicative of negative charge or attractive forces. The rightmost depiction shows parallel arrows that suggest a uniform flow, indicating constant vector magnitude and direction without variation in intensity."
33,/image33.png,"The graph illustrates trends in functional CPU scaling over time spanning from 2008 to 2030 with a logarithmic representation of performance on the vertical axis labeled as "Log (Functional CPU Scaling)" and the horizontal axis denoting "Year of 1st Production." Key elements include various curves indicating different strategies for improving CPU performance such as Design Technology Co-Optimization (DTCO) and System Technology Co-Optimization (STCO). Notable milestones are marked with specific technologies and their introduction years including terms like "14nm" and "7nm" showcasing significant milestones in CPU technology development. The green line represents Design Technology Co-Optimization indicating its role in offsetting the slower gains in performance often associated with scaling down transistor sizes. The overall trend suggests a gradual but steady improvement in CPU scaling highlighting ongoing innovations aimed at overcoming challenges in semiconductor manufacturing."
34,/image34.png,"The chart illustrates the evolution of semiconductor manufacturing processes from 1970 to 2020, focusing on key metrics such as node sizes and wafer dimensions. The y-axis represents feature sizes in microns, ranging from 0.01 to 10 microns, while the x-axis denotes the timeline from 1970 to 2020. Various colors differentiate elements: pink for node sizes, blue for wafer sizes, and green for de-magnification ratios, indicating the scaling of technology over decades. A notable downward trend visible on the chart showcases a consistent reduction in node size from 6.1 microns in 1970 to 13.5 nanometers (or 0.0135 microns) by 2020, reflecting significant advancements in fabrication technologies. The de-magnification ratios are also highlighted, showing a transition from 1:1 to 4:1, emphasizing the increasing complexity and precision required in semiconductor manufacturing. This data underscores the rapid technological progress and miniaturization within the industry, ultimately impacting performance, power efficiency, and scalability of electronic devices."
35,/image35.png,"The image consists of two graphs representing spectral irradiance over different wavelength ranges, with both displaying spectral parts labeled accordingly. The left graph illustrates the spectral irradiance in nanometers, highlighting a sharp peak around the visible spectrum (approximately 400-700 nm) while tapering off towards the ultraviolet (UV) and infrared (IR) ends. The right graph features a broader spectral range, incorporating an expanded view from UV to near-infrared wavelengths, with color coding indicating different spectral regions such as UV, visible, and IR (including UVA and UVB). The dominant colors in the visible range create a vivid rainbow effect, emphasizing the intensity of solar irradiance at these wavelengths. Both graphs reveal a notable decrease in intensity beyond the visible spectrum, indicating a significant decline in spectral irradiance as it moves into the infrared and ultraviolet ranges, which has implications for understanding energy distribution and environmental impacts related to solar radiation."
36,/image36.png,"The illustration features a series of stylized diagrams that represent the interaction between waves or particles as they transition through a medium. The leftmost section depicts waves propagating linearly, indicated by an arrow. As they reach a boundary in the middle, they appear to encounter resistance. The right section illustrates the resulting phenomena, with lines radiating outward to signify the scattering or diffusion of these waves into the surrounding environment. Key elements include the direction of wave travel, the imposition of a barrier, and the dispersal pattern that highlights changes in behavior upon interaction with different media."
37,/image37.png,"The diagram illustrates a lithography process, focusing on the differences between two exposure scenarios represented on the left and right sides. It consists of five key layers: the mask pattern at the top, followed by representations of the near field and far field light distributions, intensity at resist, and the resulting transferred pattern. The mask pattern shows alternating regions of varying opacity, while the near and far field sections depict the light intensity variations through the use of solid and wavy lines, indicating differences in light behavior during exposure. Color plays a significant role, with orange and blue lines symbolizing different light fields, and green lines highlighting intensity variations at the resist. The transferred pattern at the bottom showcases the final outcome with distinguishable features that mimic the mask design. The primary finding illustrates how variations in exposure conditions can directly affect the quality and clarity of the transferred pattern, emphasizing the significance of optimizing lithographic processes in semiconductor fabrication."
38,/image38.png,"The representation includes a series of diagrams illustrating a scientific process, complemented by a molecular structure and a histogram. The first diagram outlines a process involving multiple components, with labeled distances of 1 m and indications of particle interactions and behavior in a system under a voltage of about -10 kV. The second part showcases a molecular structure with various atoms depicted, relating to specific chemical groups. Lastly, a histogram presents frequency distribution against mass, with values ranging from 20,000 to 30,000 Da, indicating quantifiable data points in a series of peaks. These peaks suggest distinct mass distributions, likely representing different molecular species, highlighting variations in their abundance or stability."
39,/image39.png,"The image presents a scatter plot with a distinct pattern depicting counts recorded over time against the detector position measured in micrometers (µm). The x-axis is labeled "Detector position in µm" ranging from -150 to +150 while the y-axis indicates "Counts in 100 s" with values reaching up to 400. The data points represented as grey dots showcase a series of peaks and troughs indicating fluctuations in counts as the detector position changes. There are pronounced peaks around the center particularly at the position of 0 µm suggesting a significant concentration of counts at this detector position while several smaller peaks are also visible on either side indicating secondary areas of interest. The overall trend demonstrates a clear periodicity emphasizing areas of higher detection efficacy which may imply underlying physical phenomena or interactions being measured."
40,/image40.png,"The representation showcases a scatter plot with a smooth curve fitted through the data points. The x-axis is labeled "Transverse displacement (nm)" ranging from 0 to 1000 nanometers while the y-axis is marked 'Norm counts' extending up to 1.5. Blue dots indicate individual data points highlighting their distribution along the curve. The black line illustrates a sinusoidal trend revealing periodic fluctuations in normalized counts in response to varying transverse displacements. The primary finding indicates a consistent oscillatory pattern suggesting a relationship between displacement and counts that could be significant in understanding underlying physical phenomena."
41,/image41.png,"This scatter plot illustrates the relationship between the year and a metric labeled ""Macroscopicity"" with the years ranging from 1980 to 2020 on the x-axis and values of Macroscopicity from 5 to 15 on the y-axis. Different shapes and colors represent distinct categories or groups such as blue crosses green circles purple squares and a red diamond each indicating specific data points related to the time frame. The trend suggests a gradual increase in Macroscopicity over the years particularly noticeable after 2000 where several points cluster at higher values. The overall implication emphasizes a positive trajectory in Macroscopicity suggesting advancements or changes in the underlying subject matter over the decades."
42,/image42.png,"Multi‑panel figure (a–e) compares how different laser beam phase/wavefront configurations change the interference (intensity) pattern inside a structured medium (e.g., a photonic crystal). Each panel shows an input wavefront (with propagation direction arrows labeled kx and kz), the medium region, and the resulting intensity/interference pattern. Overall trend: changing the input wavefront (tilt, phase ramp, or curvature) changes where constructive and destructive interference occur—seen as shifts in fringe orientation, spacing, and symmetry. Panel (a) shows a cross‑like interference pattern. Panels (b–e) show variants with more linear (stripe‑like) fringes versus more radial/curved patterns, indicating that a linear phase variation produces approximately parallel fringes, while a radial/curved phase produces more circular or curved interference features. The comparison is meant to connect “how the beam is shaped” to “how the intensity distributes” in the medium."
43,/image43.png,"The illustration presents a series of horizontal lines representing a specific crystallographic orientation, labeled as the {10} orientation. Each line is populated with evenly spaced dots, which denote atomic or molecular positions within the crystal lattice. A key measurement denoted by D is indicated between two of the lines, suggesting a relevant distance or spacing between the different layers of the lattice. This spacing is crucial for understanding material properties like density and strength. The arrangement highlights the uniformity and periodic nature of the crystalline structure, which is vital for applications in materials science and engineering. The visual representation allows for a quick grasp of the spatial relationships between various components of the crystalline framework."
44,/image44.png,"The graph presents a plot with temperature ratios on the x-axis, labeled as 𝑇/𝑇𝑒 ranging from 0 to 1.25, and two distinct curves representing 𝐵𝑐1 (in blue) and 𝐵𝑐2 (in red) on the y-axis. The blue curve for 𝐵𝑐1 is a monotonically increasing function, starting from near zero at 𝑇/𝑇𝑒=0 and approaching a value close to 0.5 as 𝑇/𝑇𝑒 increases, indicating a relatively moderate response to temperature changes. In contrast, the red curve for 𝐵𝑐2 exhibits a decreasing trend, starting at 1 and dropping significantly as the temperature ratio increases. This behavior suggests that as the system temperature rises, the phenomena represented by 𝐵𝑐2 becomes less favorable, while 𝐵𝑐1 increases, showing a contrasting relationship between these two parameters. The intersection of these curves would provide key insights into the critical conditions influencing the system's behavior."
45,/image45.png,"STM (scanning tunneling microscopy) Image of NbSe^2, 1 T, 1.8K. Scale is 6000 Angstroms and the atoms are arranged equally spaced out."
46,/image46.png,"As the electron count is increased from 20 to 4000, the diffraction pattern is more clearly seen."
47,/image47.png,"The diagram illustrates a double-slit experimental setup used in wave and quantum mechanics emphasizing the interaction of incoming waves as they pass through two slits on a screen. Key elements include the vertical axis marked as z which indicates the position of a detector, and a horizontal segment labeled L representing the distance from the screen to the detector. The angle φ is depicted, suggesting the relationship between the path length variations due to the slits. The incoming waves are represented on the left side as a series of parallel lines, indicating wavefronts. This setup is essential for demonstrating interference patterns, revealing fundamental principles about wave-particle duality and the behavior of light and matter. The spatial relationship and indicated angles suggest that as the distance from the slits increases, the observed patterns will change."
48,/image48.png,"The representation consists of two waveforms plotted against a horizontal axis labeled "Position" ranging from 0 to 10 with the vertical axis labeled "y" indicating amplitude. The top waveform is drawn in red depicting a sinusoidal pattern with an amplitude (A) of 1 and a wavelength (λ) of 1.2 while the bottom waveform shown in black also has an amplitude (A) of 1 but with a shorter wavelength (λ) of 1.0. The prominent detail is the frequency of oscillation where the top graph exhibits wider spacing between peaks compared to the tighter oscillations seen in the lower graph indicating that as the wavelength decreases the frequency of the wave increases. The contrasting colors enhance the visual distinction between the two graphs emphasizing the effect of varying wavelengths on the sinusoidal pattern. The primary finding illustrates how wavelength influences the spatial frequency of wave phenomena."
49,/image49.png,"The depiction consists of the two line graphs representing mathematical functions over a common horizontal axis labeled "Position" ranging from 0 to 10. The top graph features a blue sine wave oscillating between 0 and 2 displaying a consistent periodic pattern. Below the second graph presents a more complex interplay of two functions: a red sine curve and a black sine curve both of which oscillate out of phase with respect to one another. The vertical axis in both graphs is labeled "Sum" indicating the resultant values derived from the equations plotted. The patterns in the lower graph illustrate constructive and destructive interference underscoring the dynamic relationship between the two waves. This visual representation emphasizes the principles of wave behavior and superposition illustrating how overlapping waves can create varied amplitudes and frequencies."
50,/image50.png,"The graph illustrates a mathematical function representing wave amplitudes relative to wave numbers. The x-axis labeled "Wave number k" spans from 0 to 1.4 while the y-axis marked "Individual Wave Amplitude" ranges from 0 to 1. The curve depicted in black rises sharply to a peak at around k = 1 and subsequently declines showing a Gaussian distribution centered at this value. Data points are indicated with solid black dots aligning closely with the curve emphasizing the function's accuracy in representing wave behavior. The equation 𝑃(𝑘)=𝑒−100(𝑘−1)2/2 suggests a strong concentration of wave amplitude around k = 1 highlighting its significance in the context of wave dynamics."
51,/image1.png,"Graph of exposure wavelength versus resolution range. Line is drawn from the G line to the immersion points, and then down to the Extreme Ultraviolet Lithography, EUV,  and Double Patterning, DP line. The x-axis, marked as the resolution range (measured in nanometers), spans from 10,000 nm down to 1 nm, while the y-axis, denoting exposure wavelength (also measured in nanometers), ranges from 8 nm up to 800 nm. Over time, the industry has progressively shifted from the G Line at approximately 436 nm, through i-Line at 365 nm, to various forms of deep ultraviolet (DUV) lithography. Immersive and dry techniques utilizing KrF (248 nm) and ArF (193 nm) wavelengths have pushed the boundaries of minimum feature size downwards. As these methods approached their limits, immersion lithography emerged around these wavelengths, further enhancing resolution by changing the medium between the lens and wafer to water, consequently increasing the lens’s ability to capture and focus light. A compelling deviation occurs when the graph dives steeply towards the left as it transitions from ArF immersion to extreme ultraviolet (EUV) lithography, which employs a significantly lower wavelength of 13.5 nm. This drastic shift signifies a pivotal advancement, as leveraging shorter wavelengths permits finer feature sizes and improved resolution, critical for fitting more transistors on a chip. Inferences can be drawn about manufacturing trends and challenges. Initially, the increase in resolution was achieved with relatively small changes in wavelength. However, moving into the EUV regime demanded overcoming extensive technical hurdles related to light source power, optical system precision, photoresist sensitivity, and mask defectivity. This substantial leap is mirrored in the sharp drop on the graph, reflecting the technological leap necessary to bypass physical and material constraints of previously used lithography methods. A noteworthy observation is that despite EUV's theoretical advantages, the development stagnation—evidenced by the flattening of the curve in the EUV region—suggests persistent challenges in practical implementation. Consequently, complementary techniques such as double patterning (DP) have been employed to extend the capabilities of existing lithography methods, seen in the graph’s indication of “Immersion and DP” and “EUV and DP.” These adaptations illustrate the continual pushing of boundaries as the demand for more miniaturized and powerful semiconductor devices escalates."
52,/image2.png,"The electromagnetic spectrum is depicted, showing the range of electromagnetic waves from long-wavelength, low-frequency radio waves to short-wavelength, high-frequency gamma rays, with a visible light region highlighted in the center. The axes use a logarithmic scale to show a very wide range of wavelengths and frequencies. Within this framework, various bands are identified, including radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays. The key relationship shown is that wavelength and frequency are inversely related, which helps explain how electromagnetic waves behave. For instance, long radio waves possess lower frequencies and correspondingly larger wavelengths which facilitate long-distance communication by diffracting around obstacles. On the other end, gamma rays have very short wavelengths and very high frequencies. They are highly energetic and can penerate most materials. A peculiar observation within the spectrum is the relatively narrow band of visible light (approximately 400 nm to 700 nm) that signifies the range perceivable by the human eye. Although this band occupies only a small portion of the spectrum, it is emphasized because it represents the light humans can see. Another noteworthy point is that energy increases rapidly as frequency increases which follows Planck’s relation where energy is proportional to frequency."
