Diagram-ID,Image-Path,Category-of-Image,Modified-Alt-Text
31,images/page0089_img000.jpeg,Mechanics (Forces & Motion),"A person pushes a loaded cart forward across a floor. Arrows indicate several forces acting on the system. A force from the person on the cart points forward, friction on the wheels points backward, and forces between the person’s feet and the floor act in opposite directions. The diagram labels two systems of interest: one including the person and cart together, and another focusing on the cart and objects on it. On the right side, two free body diagrams represent these systems as points with arrows showing the forces acting on each system. The arrows indicate the normal force upward, weight downward, friction to the left, and applied forces to the right from either the floor or the person pushing the cart."
32,images/page0092_img000.jpeg,Mechanics (Forces & Motion),"A hand presses down on a soft object placed on a table. In the first case, an upward arrow labeled force from the hand acts on the object, while a downward arrow labeled weight acts toward the table. In the second case, the object rests on the table without the hand pressing it. An upward arrow labeled normal force acts from the table on the object, and a downward arrow labeled weight acts toward the table. Below, simplified free body diagrams represent the forces acting on the object in each situation, showing upward forces from the hand or table and a downward weight force."
33,images/page0093_img000.jpeg,Mechanics (Forces & Motion),"A hand holds a vertical rope attached to a block with mass labeled m. The rope pulls upward on the block with a force labeled tension, shown by an upward arrow labeled T. A downward arrow labeled weight shows the gravitational force acting on the block. To the right, a free body diagram represents the block as a point with two forces: an upward arrow labeled tension and a downward arrow labeled weight."
34,images/page0094_img001.jpeg,Mechanics (Forces & Motion), "The top figure shows the internal structure of a human finger with the bones, extensor muscle, flexor muscle, and tendons labeled. The tendons run along the finger and attach the muscles to the bones. Red arrows labeled tension point along the tendons, indicating the direction of the pulling forces transmitted through the tendons when the muscles contract. The bottom figure shows a bicycle frame and handlebar system. Several arrows labeled tension appear along different parts of the frame and cable system, including near the handlebars and along the frame tubes. These arrows indicate forces acting along the cables and structural members of the bicycle, illustrating how tension forces can be transmitted through connected components."
35,images/page0095_img000.jpeg,Mechanics (Forces & Motion),"A person stands on a scale inside an elevator that is suspended by a cable. In the first panel, several forces acting on the elevator system are shown with arrows. A tension force in the cable points upward. The normal force from the scale on the person points upward, while the person’s weight points downward. Additional downward arrows represent the weights of the scale and the elevator. In the second panel, the person is identified as the system of interest. The forces acting on the person are shown: an upward force from the scale and a downward weight force. On the right, a simplified free body diagram represents the person as a point with two vertical forces: an upward force from the scale and a downward weight force. A small coordinate axis indicates the vertical direction labeled y and horizontal direction labeled x."
36,images/page0098_img001.jpeg,Mechanics (Forces & Motion),"Two hands hold a flexible object stretched vertically between them. The upper hand moves the object sideways from its central position. The shape of the object curves as it is displaced, and motion lines show it moving back and forth. A label marks the equilibrium position at the center, with arrows pointing left and right to indicate displacement on either side of that position."
37,images/page0099_img001.jpeg,Graphs,"Graph showing the relationship between force and displacement for a spring. The vertical axis is labeled Force, F in newtons, and the horizontal axis is labeled Displacement, x in meters. A straight line passes through several plotted points, increasing from the origin upward to the right, showing that force increases linearly with displacement. The slope of the line is labeled k equals slope equals rise over run. Dashed horizontal and vertical lines illustrate the rise and run used to calculate the slope. A table beside the graph lists measured values of mass in kilograms, weight in newtons, and displacement in meters. As mass increases from 0.000 to 0.500 kilograms, weight increases from 0.00 to 4.90 newtons and displacement increases from 0.000 to 0.127 meters. Below, springs hang vertically from a fixed support. One spring has no mass attached and is labeled x equals zero. Another spring holds a block labeled m1 with downward weight arrow w1 and displacement labeled x1. A third spring holds a larger block labeled m2 with downward weight arrow w2 and greater displacement labeled x2, showing that larger weight produces a larger stretch in the spring."
38,images/page0104_img000.jpeg,Mechanics (Forces & Motion),"Two horizontal surfaces are shown in contact to illustrate how normal force affects microscopic contact between rough surfaces. In the upper example, labeled small normal force, a block rests lightly on another surface. The surfaces appear uneven at a microscopic scale, with small bumps and valleys. A downward arrow labeled N represents the normal force exerted by the top block on the lower surface, while an upward arrow labeled N represents the equal normal force from the lower surface pushing up on the block. Because the normal force is small, the surfaces touch only at a few of the highest bumps, leaving gaps between most of the irregularities. In the lower example, labeled large normal force, the top block presses down more strongly on the lower surface. The downward arrow labeled N is larger, indicating a greater normal force, and the upward arrow labeled N shows the larger supporting force from the lower surface. The stronger compression pushes the two rough surfaces closer together, causing more of the microscopic bumps to press against each other. This increases the real area of contact between the surfaces, illustrating how a larger normal force causes greater interlocking of surface irregularities."
40,images/page0105_img000.jpeg,Other,"A microscopic model of friction showing atomic layers of two surfaces interacting as one surface slides across another. The lower surface is represented by a tightly packed lattice of atoms arranged in repeating rows. Above it is a slanted probe composed of several layers of atoms stacked in rows. An arrow at the top labeled motion of probe indicates the probe sliding horizontally across the surface. At the contact region between the two materials, atoms from the probe and the surface interact. A label reading atomic and molecular interactions points to this region where the atoms from both surfaces come close together. These interactions create resistance to motion. A horizontal arrow labeled friction, f, points opposite the direction of sliding along the interface between the probe and the surface, indicating that friction acts to oppose the motion of the probe."
41,images/page0107_img000.jpeg,Mechanics (Forces & Motion),"Two circular masses connected by a straight rod illustrate forces acting between two objects. On the left is a smaller circle labeled m with its center of mass marked CM. On the right is a larger circle labeled M with its center of mass also marked CM. A straight rod connects the two centers, and the distance between them is labeled r. Arrows labeled F are drawn along the rod pointing in opposite directions. The arrow near the smaller mass points toward the larger mass, indicating the force acting on the smaller object. The arrow near the larger mass points toward the smaller mass, indicating the force acting on the larger object. A dashed line along the rod shows the line connecting the two centers of mass."
42,images/page0109_img000.jpeg,Other,"A bright star on the left is shown being pulled toward a black hole on the right. The star is drawn as a large glowing orange sphere. Streams of material extend from the star toward the black hole, forming a long curved trail. The material spirals around the black hole in a circular disk before moving inward. The black hole is labeled “Black hole.” The background shows a purple space scene with many small white stars."
43,images/page0109_img001.jpeg,Other,"Three panels show the positions of Earth, the Moon, and the Sun during different tidal conditions. In the top panel labeled (a), Earth is shown with an elongated blue water bulge around it labeled spring tide. The Moon is positioned above Earth, and the Sun is shown to the right. The water bulge around Earth is stretched along a vertical direction. In the middle panel labeled (b), Earth again shows an elongated water bulge labeled spring tide. The Moon is positioned below Earth while the Sun remains to the right. In the bottom panel labeled (c), Earth shows a more circular water shape labeled neap tide. The Moon is positioned to the left of Earth, forming a right angle relative to the Sun, which remains on the right side of the diagram."
44,images/page0109_img002.jpeg,Other,"Earth is shown in the center surrounded by a blue ring representing ocean water. The water bulges outward on the left and right sides of Earth, and both of these regions are labeled high tide. The regions at the top and bottom of Earth are labeled low tide. A curved arrow inside Earth indicates the rotation of the planet. To the right of Earth is the Moon, shown as a gray circular body with crater markings. A green arrow points upward next to the Moon. The figure also includes the note “not to scale.”"
45,images/page0112_img000.jpeg,Mechanics (Forces & Motion),"Two panels show an object moving along a curved circular path. In each panel, the path is drawn as part of a circle with a point on the curve representing the object. A green arrow labeled v shows the velocity of the object tangent to the path. A red arrow labeled r points from the center of the circle toward the object, representing the radius. A red arrow labeled f points toward the center of the circular path, indicating the inward force acting on the object. The top panel labels the force as large f with a larger radius r. Text between the panels states that f equals Fc and is parallel to ac since Fc equals m ac. The lower panel shows the object moving with the same velocity v but with a smaller radius r. The inward force arrow is labeled large Fc, and the text notes small r and same v."
47,images/page0114_img000.jpeg,Mechanics (Forces & Motion),"A car is shown driving on a banked road surface tilted at an angle labeled theta. The car is angled relative to the horizontal road, and arrows represent the forces acting on it. A downward arrow labeled w represents the weight of the car acting vertically downward. A diagonal arrow labeled N represents the normal force exerted by the road on the car. The normal force is resolved into two components. The vertical component is labeled N cos theta equals w. The horizontal component is labeled N sin theta equals Fc equals Fnet, pointing toward the center of the curve. The diagram shows the angle theta between the banked surface and the horizontal road."
48,images/page0115_img000.jpeg,Mechanics (Forces & Motion), "Three panels compare forces acting on two different objects. In the left panel labeled (a), a person pushes a rectangular box with both hands. The box is labeled mass m1. An arrow labeled F points forward from the box, and an arrow labeled a1 points in the same direction indicating acceleration. In the right panel labeled (b), the same person pushes the back of a car labeled mass m2. An arrow labeled F points forward from the car, and an arrow labeled a2 indicates acceleration in the same direction. Below these panels, text states that the free body diagrams for both objects are the same. Two simple free body diagrams are shown, each consisting of a single horizontal arrow labeled F pointing to the right from a dot representing the object."
49,images/page0117_img000.jpeg,Mechanics (Forces & Motion),"A roller coaster track forms a vertical loop supported by a wooden framework. The track begins on a horizontal section, curves upward, and forms a complete circular loop before returning to the horizontal track. A small roller coaster car with several riders is shown moving upward along the right side of the loop. An arrow next to the car points upward along the track indicating the direction of motion. The track is colored green and the support structure underneath is a grid-like wooden frame."
50,images/page0117_img001.jpeg,Mechanics (Forces & Motion),"Two cars travel around a curved road. The road bends left around a grassy area. A blue car follows an inner curved route labeled Path 1, while a red car follows a wider curved route labeled Path 2. Black arrows show the direction each car travels along the curve. The dashed white line in the center marks the lane division of the road."
51,images/page0118_img000.jpeg,Mechanics (Forces & Motion),"A small object attached to a string moves in a circular path on the surface of a rectangular table. The string extends from the object toward a point near the center of the circle, and the radius of the circle is labeled r. A black circular arrow shows the direction of motion around the path. The word “String” labels the line connecting the object to the center point. The table is shown with four legs supporting the flat surface."
52,images/page0118_img001.jpeg,Mechanics (Forces & Motion),"A rotating merry-go-round is shown from above as a circular platform. A curved arrow labeled omega indicates the direction of rotation around the platform. A person stands near the edge of the platform holding a vertical rope. A point labeled P marks a position on the rotating surface near the person. From point P, three arrows labeled A, B, and C show possible directions of motion away from that point. The label below the figure reads “Merry-go-round’s rotating frame of reference.”"
53,images/page0124_img000.jpeg,Mechanics (Forces & Motion),"A person performs a squat while lifting a barbell across their shoulders. Two positions of the lifter are shown: one lower squat position and one higher standing position, indicating upward motion during the lift. Black arrows next to the lifter point upward to show the direction of movement. To the right of the lifter, two vertical arrows are shown. One orange arrow labeled F points upward representing the applied force. A black arrow labeled d also points upward representing displacement. Below the arrows, the equation “W = F d” is written, showing the relationship between work, force, and displacement."
54,images/page0124_img001.jpeg,Mechanics (Forces & Motion),"Three examples illustrate the relationship between force, displacement, and work. (a) A person pushes a lawn mower forward across grass. A horizontal arrow labeled force points in the direction of motion, and another arrow labeled displacement shows the distance moved in the same direction. Above the diagram, the relationship work equals force multiplied by displacement is shown. (b) A person stands holding a briefcase at their side. An upward arrow labeled force shows the force applied to hold the briefcase, but the displacement is labeled displacement equals zero, indicating no movement. (c) A person walks forward while carrying a briefcase. A horizontal arrow labeled displacement shows the direction of motion, while a vertical arrow labeled force shows the upward force supporting the briefcase. The angle between the force and displacement is labeled theta equals ninety degrees."
55,images/page0127_img000.jpeg,Mechanics (Forces & Motion), "A box of mass thirty kilograms sits on a horizontal surface with small rollers. Several forces acting on the box are shown with arrows. A rightward arrow labeled applied force equals one hundred twenty newtons pushes the box to the right. A leftward arrow labeled friction force equals five newtons opposes the motion. A horizontal arrow to the right labeled displacement equals zero point eight zero zero meters shows the distance the box moves. Two vertical forces are also shown: a downward arrow labeled weight and an upward arrow labeled normal force from the surface supporting the box."
56,images/page0133_img000.jpeg,Mechanics (Forces & Motion),"A vertical cross-section of a multi-story building shows two ways for a person to reach a higher floor. On the right side, a person walks up a staircase that zigzags between floors. A vertical bracket labeled h marks the total vertical height gained from the bottom floor to the upper floor. On the left side, an elevator system is shown with a cable running over a pulley at the top of the building. A counterweight and elevator car move vertically between the bottom point labeled A and an upper point labeled B. The diagram compares different paths for reaching the same height in the building."
57,images/page0133_img001.jpeg,Mechanics (Forces & Motion),"Two diagrams show a cuckoo clock with hanging weights connected by chains. (a) In the first diagram, a person pulls down on the chain to raise a weight. A downward arrow labeled force shows the applied force pulling the chain downward through a distance labeled displacement. The weight of mass m rises upward through a height labeled h. The diagram shows the relationships input energy equals work and work equals mass times gravitational acceleration times height. (b) In the second diagram, the raised weight slowly descends as the clock operates. The energy released by the falling weight is labeled output energy equals mass times gravitational acceleration times height."
58,images/page0135_img000.jpeg,Mechanics (Forces & Motion),"A roller coaster track is shown with a cart starting at the top of a hill labeled Start. The cart begins from rest with initial velocity equals zero. The track descends into a valley and then rises again to a smaller hill before reaching a flat section labeled Finish. A vertical arrow from the starting point down to the lowest point indicates a height difference of twenty-five meters. Another vertical arrow shows a height difference of twenty meters between the lowest point and the finishing height. The final velocity at the finish is labeled velocity equals unknown. The diagram illustrates motion along the track and changes in height used to analyze energy conservation."
59,images/page0142_img000.jpeg,Graphs,"A graph shows the relationship between applied force and displacement for a spring. The vertical axis is labeled applied force equals applied force, and the horizontal axis is labeled displacement equals x. A straight line starts at the origin and rises linearly to the right, representing the relationship force equals spring constant multiplied by displacement. The triangular shaded area under the line between zero and displacement x represents the work done stretching the spring. A dashed horizontal line marks the midpoint force labeled applied force equals one-half multiplied by spring constant multiplied by displacement. On the right side, two methods are shown for calculating the work: Method A states work equals one-half multiplied by base multiplied by height, which equals one-half multiplied by spring constant multiplied by displacement multiplied by displacement, giving work equals one-half multiplied by spring constant multiplied by displacement squared. Method B states work equals force multiplied by displacement, where force equals one-half multiplied by spring constant multiplied by displacement, resulting in work equals one-half multiplied by spring constant multiplied by displacement squared."
60,images/page0143_img000.jpeg,Mechanics (Forces & Motion),"Three panels show how a compressed spring launches a small object. (a) A device containing a spring is attached to the back of a gun-like launcher. The spring is uncompressed and the projectile sits in front of it. (b) The spring is compressed by pushing the projectile backward. Text indicates that work is done to compress the spring. The compression distance is labeled x, and the projectile of mass m is shown next to the compressed spring. The stored energy is labeled elastic potential energy. (c) The spring expands and pushes the projectile forward. An arrow shows the projectile moving to the right with velocity v, and the energy of the moving projectile is labeled kinetic energy."
61,images/page0145_img000.jpeg,Mechanics (Forces & Motion),"A person moves up a staircase, illustrating changes in energy and forces. At the bottom of the stairs, the person stands with initial velocity equals zero. A downward arrow labeled weight equals mass multiplied by gravitational acceleration shows the gravitational force acting downward. The normal force from the ground is labeled normal force equals negative weight. A staircase rises to a higher platform. A vertical arrow labeled h indicates the height gained while climbing the stairs. At the top of the stairs, the person is shown running forward with velocity labeled v sub i. The energy at this point is labeled kinetic energy plus gravitational potential energy, indicating the combination of motion and height-related energy."
62,images/page0151_img000.jpeg,Mechanics (Forces & Motion),"A car travels along a hilly road illustrating changes in motion. On the left, the car moves downhill as indicated by the label coasts down hill. It then moves upward over a small crest labeled coasts up over crest, followed by another descent labeled coasts down hill. On the far right, the car reaches a flat area and stops at a gas pump, labeled stops for gasoline. Arrows above each section indicate the direction of motion along the changing slope of the road."
63,images/page0158_img000.jpeg,Graphs,"A graph shows force as a function of time. The vertical axis is labeled force, and the horizontal axis is labeled time. A curved line labeled actual force rises from zero at time t one, reaches a peak, and then decreases back to zero at time t two. A shaded region under the curve represents the total effect of the varying force over time. A dashed horizontal line labeled effective force indicates a constant force that would produce the same overall effect. A rectangular shaded area between t one and t two represents this constant effective force, equal in area to the region under the curved line."
64,images/page0159_img000.jpeg,Mechanics (Forces & Motion),"Two panels compare the motion of two cars before and after an interaction. In the top panel labeled before, two cars are shown moving to the right. The first car has mass m one and velocity v one, and the second car has mass m two and velocity v two. The system of interest includes both cars, and the net force on the system is labeled net force equals zero. The total momentum is shown as momentum one plus momentum two equals total momentum. In the bottom panel labeled after, the same two cars continue moving to the right with new velocities labeled v one prime and v two prime. The total momentum is shown as momentum one prime plus momentum two prime equals total momentum, indicating that momentum is conserved for the system."
65,images/page0160_img000.jpeg,Mechanics (Forces & Motion),"A rocket moves along a curved trajectory, shown in two stages labeled before and after. In each stage, the rocket is enclosed in an oval labeled system of interest, with its center of mass marked as center of mass. The rocket follows a curved path through space. In the horizontal direction, the net force is labeled net force in the x direction equals zero, indicating no horizontal force. In the vertical direction, the net force is labeled net force in the y direction equals mass times gravitational acceleration, not equal to zero, showing that gravity acts downward. Momentum components are shown with arrows. The horizontal momentum is labeled momentum in the x direction is constant, while the vertical momentum is labeled momentum in the y direction is not constant. On the right, this is summarized as momentum in the x direction after equals momentum in the x direction before, and momentum in the y direction after is not equal to momentum in the y direction before."
